OrigDate,Price,Open,High,Low,Vol.,Change %,Date
44326,18,18,18,18,,-1.30%,2021-05-10
44296,18.24,18.24,18.24,18.24,,-0.22%,2021-04-10
44206,18.28,18.28,18.28,18.28,,-0.24%,2021-01-10
09/30/2021,18.32,18.32,18.32,18.32,,1.14%,2021-09-30
09/29/2021,18.12,18.12,18.12,18.12,,0.97%,2021-09-29
09/28/2021,17.94,17.94,17.94,17.94,,0.44%,2021-09-28
09/27/2021,17.86,17.86,17.86,17.86,,-2.43%,2021-09-27
09/24/2021,18.31,18.31,18.31,18.31,,-2.89%,2021-09-24
09/23/2021,18.85,18.85,18.85,18.85,,0.00%,2021-09-23
09/22/2021,18.85,18.85,18.85,18.85,,-0.94%,2021-09-22
09/21/2021,19.03,19.03,19.03,19.03,,-0.10%,2021-09-21
09/20/2021,19.05,19.05,19.05,19.05,,2.37%,2021-09-20
09/17/2021,18.61,18.61,18.61,18.61,,-1.46%,2021-09-17
09/16/2021,18.88,18.88,18.88,18.88,,-0.09%,2021-09-16
09/15/2021,18.9,18.9,18.9,18.9,,-0.92%,2021-09-15
09/14/2021,19.08,19.08,19.08,19.08,,0.04%,2021-09-14
09/13/2021,19.07,19.07,19.07,19.07,,-0.03%,2021-09-13
44478,19.07,19.07,19.07,19.07,,0.00%,2021-10-09
